Year,Aalborg,Aarhus,Adana,Agia Napa,Almada,Amsterdam,Ankara,Antwerp Deurne,Antwerp Zuid,Athens,Auckland,Australia (55 sites),Australia (59 sites),Barcelona,Basel,Belgrade,Belo Horizonte (2),Bergen (2),Berlin (4),Berne,Boevange,Bologna,Boom,Bordeaux I,Bozen,Brasilia (I-VII),Bratislava C,Bristol,Brno,Brugge,Brussels,Bucharest,Budapest,Castellon,Chemnitz,Christchurch,Cluj Napoca,Concepción,Copenhagen,Curitiba (2),Debrecen,Domžale-Kamnik,Dortmund,Dresden,Dublin,Dülmen,Eindhoven,Eleusis,Erfurt,Esbjerg,Espoo,Fort-de-France P,Fortaleza,Frankfurt (3),Geneva,Geraardsbergen,Goiânia,Gothenburg,Granada,Graz,Groningen,Gävle,Hall-Wattens,Hamburg N,Hannover (2),Helsinki,Huittinen,Hämeenlinna,Innsbruck,Istanbul (II-VII),Joensuu,Jyväskylä,Kajaani,Kapfenberg,Karlovy Vary,Karlstad,Kaunas,Kemi,Kitchener,Klagenfurt,Klaipeda,Klosterneuburg,Knittelfeld,Kohtla-Järve (2),Kokkola,Koksijde,Koper,Korneuburg,Kotka,Kouvola,Krakow P,Kranj,Kufstein,Kuopio,Lahti,Lappeenranta,Larnaca,Lausanne,Lebu,Leeuwarden,Limassol,Lisbon,Ljubljana,Lleida,London,Los Angeles,Lugano,Luxembourg,Madrid VdlV,Magdeburg,Mainz,Malta,Mamer,Maribor,Mariehamn,Merchtem,Mersch,Mikkeli,Milan,Molina de Segura,Montreal,Munich G,Mytilene,Mürzzuschlag,Narva,Natal,Nicosia (2),Nieuwegein Ijssel.,Ninove,Niterói (2),Novi Sad,Novo mesto,Nuremberg,Næstved,Odense,Oostende,Oslo (2),Ostrava,Oudewater,Oulu,Paphos,Paris Seine Centre,Paris South Suburbs,Piestany,Pietarsaari,Plzeň,Pori,Porto,Porto Alegre (2 - 2024),Porvoo,Prague (2),Purgstall,Queenstown,Rauma,Recife,Region Millstättersee,Reykjavik Klettagarðar,Ried im Innkreis,Riga,Rome,Rostock,Rotterdam (2),Rovaniemi,Ruisbroek (Puurs),Saarbrücken (2),Salo,Salzburg,Sandviken,Santiago,Sarajevo,Sarandi,Savonlinna,Seattle,Seinäjoki,Seoul,Serraria,Split,St. Gallen Hofen,Steyr,Stockholm (2),Strass im Zillertal,Stuttgart,São Carlos,São Luis,São Paulo (I-V),Söderhamn,Tallinn,Tampere,Tarragona,Tartu,Thessaloniki,Trollhättan,Trondheim (2),Turku,Umea,Uppsala,Utrecht,Vaasa,Valencia (3),Velenje,Vihti,Vilnius,Växjö,Wasserverband Hofsteig,Wellington (M1+M2),Wien,Wiener Neustadt,Wildon,Zagreb,Zurich,Zwolle,Ústí nad Labem,České Budějovice
2011,,,,,,644.1,,,721.18,,,,,421.68,,,,,,,,,,,,,,,,,184.32,,,371.57,,,,,,,,,,,,,437.42,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,392.71,,,,,,,,,,,,,,238.85,,,,,,,,,,,,,,,,,,,,,,,206.3,,,,,,,,,,,,,,,,,,,,,,,,,,,211.22,,,,,,,,,,,,,,,,,,,,,,,,,,2.63,,356.34,,,,,,,,,,,,49.95,,,,6.82
2012,,,,,,650.49,,315.63,742.05,,,,,400.59,281.22,,,,,265.5,,,,,,,,,,,187.19,,,262.96,,,,,,,,,,,,,349.83,,,,,,,,341.15,,,25.3,,,,,,,,9.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,241.75,,,,,,,,,,,,,,,,,,,,,,,215.42,,,,,,,,,48.34,,,,,,,,,,,,,,,,,,239.97,,,,,,,,,,,,,,,,,,,,,,,,,0.0,0.0,,344.77,,,,,,,,,,,,69.8,436.86,,,5.25
2013,,,,,,393.0,,442.72,836.79,59.21,,,,537.98,436.64,40.69,,,,264.34,,,,,,,,,,,223.81,,,174.51,,,0.0,,218.55,,,,324.14,6.0,,48.43,426.62,,,,,,,,373.45,22.88,,30.58,,,,,,,,,,,,,,,,,,,,,,,,,,,,51.68,,,,,,,,,,,,,,,13.92,106.82,,,710.65,,,,,,,,,,,,,,233.17,,,,,,,,,,106.2,,15.78,,,,,,,,,,,242.66,,3.23,,,,,,,51.45,,,,,,,,,,,,,,,,,,130.21,30.58,,,,,,,,,,,,,,,,,,,,,,,,,5.07,,199.16,,401.5,,,,,,,,,,80.03,678.79,,,2.58
2014,,,,,54.49,716.38,,363.77,632.69,80.06,,,,461.1,453.47,,,,191.67,365.08,,,,,,,,248.3,,,,,,206.28,,,,,341.8,,,,243.26,8.39,,31.85,380.83,,,,6.23,,,,447.63,66.26,,,,,,,,,,9.4,,,,,0.35,0.25,,,,,,,,,,,,,,,,,4.25,,,,,4.3,11.03,1.74,,311.89,,,,,,,737.33,,240.6,,,,,,,,,,,,208.05,,,79.46,,,,,,,114.17,,,,,,,,,,,0.28,,233.96,,,,,,,,,,,,,,,,,,,,,0.39,,,,,,165.17,,,0.55,,,,,,,,,,,,,,,,1.0,,,,,,1.49,,,220.2,0.85,378.16,,,,,,,,,,77.43,598.27,,,
2015,,,,,63.59,641.72,,466.1,621.12,63.03,,,,443.56,42.51,,,,169.2,228.93,,,,,,,,306.25,,,472.36,,,126.64,,,,,337.15,,,,275.46,7.84,,27.42,323.04,,,,7.84,,,,442.68,55.55,,,,,,,,,,9.97,,,,,,,,,,,,,,,,83.39,,,,51.62,,,,,,,,,,,,313.92,,,78.94,264.33,,,909.43,,228.49,,,,,68.45,,,,,,,206.12,232.78,,26.8,2.65,,,,,,98.52,,,,,,,80.71,,,,,,161.56,,6.15,,,,92.42,,,,,,,,,57.84,,,,,,,,,,,,135.1,,,,,,,,,,,,,,,,,,,5.06,,,9.67,,,0.85,,,148.1,,336.66,,,,,,,,,,100.47,529.32,,,5.45
2016,,,,,68.11,,,409.62,914.79,30.41,,,,699.1,435.17,,,,,325.71,,,,246.03,,,,390.41,,,416.83,,,364.67,,,,,,,,,420.74,17.7,,84.07,497.87,,,,10.5,,,,484.7,,,,,,,,,,,16.75,,,161.96,,0.9,0.0,,,,,,,,,,,,,,77.09,,,3.19,,,,,1.14,9.93,0.0,,,,,153.46,257.96,,,894.92,,381.08,,,,,,,,,,,,306.59,509.94,,113.79,,,,,,,,,,,,,,98.0,,,,0.0,,169.6,,20.03,,,,90.75,,,,,,,,,100.61,,,,,,1.53,,,,,,142.68,,,0.0,,,,,,,,144.14,,,,,,,,6.44,,,,,,1.8,,,310.36,0.0,261.63,,,,,,,,,,162.32,722.53,,,6.83
2017,,,,,82.39,734.04,,,822.93,38.28,,,,965.19,562.86,,,,290.6,527.84,,,426.8,263.29,,,89.22,754.74,24.21,,373.81,,,319.5,20.29,,,,,,,,428.67,20.86,,111.41,427.78,,48.56,,17.07,398.99,,427.93,794.84,,,,,,,,,272.06,302.91,29.93,,,222.78,,,,,,,,,,,,,,,,,75.89,,,,,,,,,,,,,,,,271.6,449.76,,,,,,458.79,136.23,128.46,,,,,234.78,,,341.43,,,140.16,,,,,,317.65,,,,,18.11,,,145.14,,,251.57,,,324.24,104.31,6.35,,,,160.22,,,,,,,,,437.32,,,,136.13,,,245.54,193.42,,,,342.68,,,,,,,,,821.69,,,,216.82,,,,,,16.29,,,,,,4.74,,,288.74,,425.79,,,34.7,,,,,,,216.27,934.42,,,12.5
2018,,,,,136.79,932.36,,,771.79,,,,,733.19,585.35,,,,343.08,499.92,,,,201.61,393.16,,107.08,969.23,31.78,64.37,432.53,,,296.47,12.06,,,,465.72,,,174.76,379.08,33.29,,116.9,426.93,,46.05,,29.55,,,,600.44,,,,,,,,192.81,,,62.88,,7.22,335.51,,2.06,3.17,0.36,,,,57.59,1.98,,,62.67,,,,0.83,87.05,,,16.97,8.24,,,,1.87,44.22,2.57,,,,,,454.53,289.38,,,,,,316.47,,,,,92.56,23.98,,,2.47,362.19,,,187.06,,,,,,,,,,,,,,139.17,,,,2.75,,524.98,56.77,22.01,,,4.32,219.48,,,,,,,,72.1,478.5,,,,,,3.59,,184.06,,,,352.14,,,1.89,,0.9,,,,708.34,,,,,,,,,,27.1,,,,,,6.94,,,414.6,1.27,587.41,,,49.8,,181.88,,,,,234.54,855.96,,,26.8
2019,,,3.11,,162.54,986.15,,,1275.66,55.91,,,,700.3,716.63,,,,,485.85,,,489.38,256.76,377.79,,69.94,,41.76,,454.56,,,714.41,13.26,,,,599.71,,,247.97,374.78,28.14,,129.55,545.42,16.43,52.03,,46.63,,,,676.89,,,,,154.19,,85.53,202.4,,,73.81,,,329.97,36.22,,,,64.72,,,65.32,,,,88.63,,,,,110.84,592.73,,,,46.57,,,,,,,,,,272.39,453.34,429.71,,618.82,,,,504.86,,,,,237.5,,,,,236.55,,,235.7,,23.89,,,,,,,,259.59,,,,249.38,,27.41,,,,273.54,,33.19,,,,264.35,,,477.92,22.03,,,,55.47,740.68,,57.34,,,,,,172.17,,,,500.54,,,,,,,,,909.82,,211.23,,,,,,,,12.67,,,,,,11.07,,62.27,460.25,,488.31,156.62,,75.56,,215.76,,,,,395.55,890.94,,,19.47
2020,,,4.89,,233.14,768.64,,,1174.88,,,,,,,,,,,567.18,,,417.18,,333.1,,,,,,474.2,,,437.9,27.34,,,,,,,161.38,305.04,42.14,,134.79,522.95,,71.02,,47.33,,,,501.5,,,,,138.22,,103.55,210.32,471.34,,81.98,,12.55,320.67,54.44,1.74,3.01,0.93,146.46,63.51,,65.35,1.86,,,89.91,,,,0.75,,320.99,,18.43,7.55,53.96,,404.04,5.89,37.49,1.47,,,,,43.9,365.8,336.05,,,,,,,180.79,,,,139.68,41.53,,,2.98,401.44,,,191.33,,,,,,,,,125.95,107.44,38.24,,,,,45.4,,3.72,,410.58,,,0.22,,3.74,329.85,,,267.94,24.39,,1.06,,75.72,283.25,,78.63,,,,3.24,,167.51,1.91,,79.21,610.78,,,2.19,,5.76,,,,691.83,,323.34,122.11,,,,,59.36,,18.29,,,,,,17.52,,94.74,493.63,1.82,,148.13,16.87,70.99,,196.67,,,,,510.24,874.36,,,
2021,,,5.71,124.21,404.51,886.83,,,1581.88,95.85,,,,665.38,708.08,,,,,501.37,,,,,367.1,,76.17,750.71,74.87,,768.08,,,529.38,20.51,,,,533.35,,,256.23,476.76,50.65,,207.53,623.61,,81.07,,41.49,,,,652.8,,,,,138.65,,170.7,204.8,,,60.53,,,274.18,53.88,,,,109.24,63.99,,84.69,,,,108.86,,,,,,406.55,,,,67.2,,401.61,,,,39.59,,,,73.66,500.48,364.79,,,,,,,222.21,,,,155.83,,,,,385.29,,,236.17,,,35.73,,47.68,,,,,192.82,72.94,,295.15,,,45.91,,,25.36,427.42,,11.92,,,,237.8,,,239.83,28.24,,,,30.44,,,109.66,,,,,,207.64,,,101.98,546.97,,,,,,,,,1336.68,,159.19,112.33,,,,,50.19,,9.41,,67.26,,,,10.45,,77.12,529.55,,,220.45,,119.98,,351.72,,,,,548.62,790.58,,,57.49
2022,,,9.09,34.76,473.18,1142.43,,,2381.39,103.99,,,,622.26,837.83,,,,541.34,535.64,,,,,366.87,,226.52,,91.31,,984.8,,,554.3,27.13,,,,647.35,,,250.82,349.67,48.73,,128.58,713.67,,78.31,,68.06,,,,769.69,,,,,180.62,,121.09,276.57,,,118.93,,8.07,358.91,59.09,5.84,6.45,0.6,97.41,118.14,,146.44,0.12,,184.39,71.53,,67.08,33.18,0.81,,347.79,192.98,23.11,8.19,82.14,188.0,536.65,20.39,60.67,11.21,31.34,,,,98.67,731.95,466.59,759.54,,,,,,203.17,,,,240.47,22.54,,,1.57,390.11,,,236.41,,,,,46.12,,,,,261.13,61.86,,,,,71.68,,7.21,32.31,,,41.33,0.68,,6.63,265.85,,,513.4,38.8,,6.19,,110.57,522.99,,201.61,,,,3.47,,195.67,20.92,192.23,106.4,505.1,,,1.96,,4.02,,,,,81.8,,149.22,,,,,,201.83,13.21,1610.55,,,,,18.29,,,651.63,1.81,724.12,201.05,31.99,123.73,59.92,320.13,,370.58,175.45,167.42,401.19,931.09,,,100.95
2023,,,,75.59,,1209.96,10.61,,1721.58,133.39,57.63,102.51,,619.47,559.98,,914.65,,,631.37,119.91,,,,447.22,645.23,194.71,445.89,115.61,,598.22,175.53,,445.24,57.76,14.84,,184.85,,864.92,24.61,349.88,547.65,85.33,,,766.11,,120.04,,134.96,,,,812.89,,,,1031.3,278.41,,111.08,329.73,,,250.72,,,423.39,,,,,151.36,130.93,,199.4,,,189.29,92.15,,117.53,,,,496.63,,,,70.35,319.68,589.11,,,,29.52,,214.01,1191.51,105.54,,554.73,879.41,,209.25,,,,233.94,,,257.44,394.89,,,284.4,,369.18,,,301.46,,,,224.03,65.27,,,,,303.06,103.7,,,,,99.11,,,35.46,616.48,,35.77,,162.31,,512.53,,,,24.89,39.54,,190.44,216.28,638.45,,231.72,,,1088.44,,,244.91,,253.83,,627.43,,737.58,,647.03,,0.0,886.53,,,132.04,,223.01,,569.37,,477.5,,282.82,47.43,1463.91,178.32,,,,59.46,,68.55,734.55,,615.43,376.11,,124.03,140.57,271.05,12.6,442.74,268.27,188.89,567.95,1022.61,,,128.73
2024,488.12,287.21,,46.45,358.61,1206.28,14.38,,1996.98,181.21,129.11,,268.19,349.44,569.48,,2189.65,515.61,,660.77,,531.55,,,415.08,873.56,316.79,780.67,193.39,,1186.34,200.11,311.72,752.07,57.48,72.64,,1708.98,548.44,1012.02,,360.6,480.76,101.92,875.54,,809.89,,118.62,382.63,158.62,,886.25,,917.84,,485.39,,,332.85,932.69,77.08,369.53,580.61,421.51,224.53,3.21,47.17,522.76,42.05,23.45,28.41,17.55,166.56,103.2,108.62,254.31,8.15,1490.15,311.32,164.15,,163.79,,3.05,,654.84,,37.71,32.39,92.56,441.84,641.52,27.42,111.14,9.0,38.79,,3110.11,,97.33,625.08,692.72,623.86,,2628.16,,499.33,,226.4,,,,447.91,17.41,,,21.82,402.39,,15.18,407.64,,,,2005.3,43.54,,,537.98,,318.89,91.62,297.54,406.63,,672.16,119.23,,29.47,41.18,,,60.27,2.34,200.1,21.11,415.58,1073.45,72.29,501.72,66.4,134.68,24.69,200.22,172.0,367.52,95.96,202.67,478.61,,972.92,15.61,,287.88,,279.9,,609.79,,,8.66,789.66,11.55,,1146.12,232.99,,149.75,374.23,230.38,436.81,,108.34,647.27,,,73.78,1482.91,,,92.76,264.37,91.21,,,688.55,23.04,,258.7,81.76,169.07,82.45,342.0,40.83,443.95,277.24,165.58,677.38,1086.39,492.68,78.95,222.13
