,Year,Metabolite,Site ID,Country,City,Wednesday,Thursday,Friday,Saturday,Sunday,Monday,Tuesday,Weekday mean,Weekend mean,Daily mean
50,2024,MDMA,DE008,DE,Chemnitz,9.15,6.77,11.69,11.05,21.84,13.8,7.66,7.86,14.6,11.71
51,2024,MDMA,DE009,DE,Dortmund,23.01,79.6,33.56,27.56,48.22,29.71,17.82,40.14,34.77,37.07
53,2024,MDMA,DE012,DE,Erfurt,62.24,20.8,14.18,19.76,45.36,22.51,15.36,32.8,25.45,28.6
54,2024,MDMA,DE018,DE,Hamburg N,12.09,7.57,18.77,48.54,56.32,30.5,20.54,13.4,38.53,27.76
57,2024,MDMA,DE026,DE,Munich G,32.6,21.86,107.88,30.54,48.64,20.68,13.4,22.62,51.94,39.37
58,2024,MDMA,DE028,DE,Nuremberg,9.89,10.88,7.9,16.49,29.01,22.2,11.69,10.82,18.9,15.44
59,2024,MDMA,DE030,DE,Saarbrücken (2),24.69,19.47,19.53,38.35,43.39,33.23,19.79,21.32,33.63,28.35
60,2024,MDMA,DE033,DE,Stuttgart,14.77,12.44,8.87,29.6,49.99,23.29,20.94,16.05,27.94,22.84
201,2024,amphetamine,DE008,DE,Chemnitz,24.15,29.09,31.46,23.1,27.99,29.2,27.03,26.76,27.94,27.43
202,2024,amphetamine,DE009,DE,Dortmund,250.44,451.53,184.82,263.92,199.21,233.78,251.68,317.88,220.43,262.2
204,2024,amphetamine,DE012,DE,Erfurt,59.99,55.04,66.94,66.49,76.4,63.54,63.93,59.65,68.34,64.62
205,2024,amphetamine,DE018,DE,Hamburg N,49.0,30.76,76.86,69.96,69.59,75.36,59.94,46.57,72.94,61.64
208,2024,amphetamine,DE026,DE,Munich G,40.48,32.77,38.35,40.37,38.77,39.04,35.29,36.18,39.13,37.87
209,2024,amphetamine,DE028,DE,Nuremberg,46.94,58.73,49.32,55.26,57.37,59.8,44.87,50.18,55.44,53.19
210,2024,amphetamine,DE030,DE,Saarbrücken (2),485.48,495.73,508.4,491.6,551.82,496.05,460.83,480.68,511.97,498.56
211,2024,amphetamine,DE033,DE,Stuttgart,122.58,94.44,107.25,106.48,125.15,92.41,129.62,115.55,107.82,111.13
450,2024,cocaine,DE008,DE,Chemnitz,43.23,51.46,78.6,67.7,77.0,51.16,33.25,42.64,68.61,57.48
451,2024,cocaine,DE009,DE,Dortmund,408.05,541.82,480.56,574.62,525.97,406.17,428.16,459.34,496.83,480.76
453,2024,cocaine,DE012,DE,Erfurt,103.43,95.11,101.15,153.83,175.85,101.3,99.7,99.42,133.03,118.62
454,2024,cocaine,DE018,DE,Hamburg N,428.98,327.26,712.69,724.77,790.45,570.68,509.45,421.9,699.65,580.61
457,2024,cocaine,DE026,DE,Munich G,511.37,402.66,405.42,458.64,440.24,305.7,329.45,414.49,402.5,407.64
458,2024,cocaine,DE028,DE,Nuremberg,71.81,80.2,68.99,113.91,125.25,113.84,67.37,73.12,105.5,91.62
459,2024,cocaine,DE030,DE,Saarbrücken (2),219.95,267.09,280.96,318.27,396.49,280.96,251.46,246.17,319.17,287.88
460,2024,cocaine,DE033,DE,Stuttgart,361.61,406.06,492.66,469.96,628.47,356.09,342.84,370.17,486.8,436.81
585,2024,ketamine,DE008,DE,Chemnitz,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
586,2024,ketamine,DE009,DE,Dortmund,10.7,15.87,12.05,6.44,21.3,6.28,8.15,11.57,11.52,11.54
588,2024,ketamine,DE012,DE,Erfurt,13.04,9.54,10.91,27.63,16.89,8.97,6.0,9.53,16.1,13.28
589,2024,ketamine,DE018,DE,Hamburg N,21.84,12.57,34.74,35.52,33.03,26.56,25.48,19.96,32.46,27.11
592,2024,ketamine,DE026,DE,Munich G,18.21,10.93,12.75,18.64,17.08,13.47,10.49,13.21,15.49,14.51
593,2024,ketamine,DE028,DE,Nuremberg,9.77,13.64,10.04,10.11,19.11,12.42,8.65,10.69,12.92,11.96
594,2024,ketamine,DE030,DE,Saarbrücken (2),12.19,13.7,8.95,7.57,7.73,9.99,5.83,10.57,8.56,9.42
595,2024,ketamine,DE033,DE,Stuttgart,15.71,17.88,16.9,18.25,16.94,10.33,7.19,13.59,15.61,14.74
705,2024,methamphetamine,DE008,DE,Chemnitz,372.63,348.01,442.67,322.59,351.18,353.38,343.52,354.72,367.46,362.0
706,2024,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
708,2024,methamphetamine,DE012,DE,Erfurt,396.35,336.57,322.3,338.28,325.9,296.03,329.12,354.01,320.63,334.94
709,2024,methamphetamine,DE018,DE,Hamburg N,8.73,6.54,14.07,11.56,12.79,10.55,8.73,8.0,12.24,10.43
712,2024,methamphetamine,DE026,DE,Munich G,18.22,19.83,18.25,21.65,20.76,16.43,16.86,18.3,19.27,18.86
713,2024,methamphetamine,DE028,DE,Nuremberg,169.84,198.38,161.31,170.22,165.36,202.68,158.38,175.53,174.89,175.17
714,2024,methamphetamine,DE030,DE,Saarbrücken (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
715,2024,methamphetamine,DE033,DE,Stuttgart,15.22,12.95,11.78,14.28,16.18,11.76,17.3,15.16,13.5,14.21
847,2023,MDMA,DE008,DE,Chemnitz,7.31,6.21,6.52,15.7,27.69,16.97,9.47,7.66,16.72,12.84
848,2023,MDMA,DE009,DE,Dortmund,27.54,19.13,18.59,21.15,34.18,339.26,80.44,42.37,103.3,77.18
850,2023,MDMA,DE012,DE,Erfurt,5.97,5.69,5.34,29.67,29.83,18.75,11.43,7.7,20.9,15.24
852,2023,MDMA,DE026,DE,Munich G,5.62,2.15,5.43,25.26,35.39,24.64,14.17,7.32,22.68,16.1
853,2023,MDMA,DE028,DE,Nuremberg,41.54,11.26,9.85,19.56,28.33,19.89,50.66,34.49,19.41,25.87
854,2023,MDMA,DE030,DE,Saarbrücken (2),19.05,15.06,16.88,27.86,44.73,32.17,26.23,20.11,30.41,26.0
950,2023,amphetamine,DE008,DE,Chemnitz,32.65,23.34,23.58,24.73,31.77,22.93,27.78,27.92,25.75,26.68
951,2023,amphetamine,DE009,DE,Dortmund,195.79,330.22,180.84,165.98,229.02,316.67,224.11,250.04,223.13,234.66
953,2023,amphetamine,DE012,DE,Erfurt,63.26,61.75,58.55,54.77,67.11,70.81,61.15,62.05,62.81,62.49
955,2023,amphetamine,DE026,DE,Munich G,25.86,17.09,25.87,33.38,32.29,46.61,35.38,26.11,34.54,30.93
956,2023,amphetamine,DE028,DE,Nuremberg,46.1,45.26,45.12,51.91,55.23,43.84,41.27,44.21,49.02,46.96
957,2023,amphetamine,DE030,DE,Saarbrücken (2),347.46,331.72,341.71,376.96,337.23,377.51,315.4,331.52,358.35,346.86
1119,2023,cocaine,DE008,DE,Chemnitz,44.54,49.59,57.76,72.94,88.58,42.01,48.89,47.67,65.32,57.76
1120,2023,cocaine,DE009,DE,Dortmund,449.54,451.48,436.41,593.38,677.63,687.12,538.01,479.68,598.63,547.65
1122,2023,cocaine,DE012,DE,Erfurt,99.11,80.6,100.49,154.1,195.71,119.84,90.41,90.04,142.54,120.04
1124,2023,cocaine,DE026,DE,Munich G,202.88,180.48,237.97,392.03,426.35,383.92,286.56,223.31,360.07,301.46
1125,2023,cocaine,DE028,DE,Nuremberg,76.04,73.52,84.55,159.19,148.37,106.76,77.47,75.68,124.72,103.7
1126,2023,cocaine,DE030,DE,Saarbrücken (2),227.85,231.07,227.84,263.29,289.36,230.6,244.36,234.43,252.77,244.91
1199,2023,ketamine,DE009,DE,Dortmund,7.95,3.81,5.78,6.59,5.3,32.08,15.73,9.16,12.44,11.03
1201,2023,ketamine,DE012,DE,Erfurt,3.59,3.02,2.66,2.77,7.6,6.59,2.5,3.03,4.91,4.1
1203,2023,ketamine,DE026,DE,Munich G,16.83,5.37,13.98,23.73,26.39,21.47,27.26,16.49,21.39,19.29
1204,2023,ketamine,DE028,DE,Nuremberg,13.86,9.42,26.37,46.25,37.47,21.29,13.54,12.27,32.85,24.03
1205,2023,ketamine,DE030,DE,Saarbrücken (2),6.43,9.51,6.22,6.35,9.96,7.95,10.12,8.69,7.62,8.08
1277,2023,methamphetamine,DE008,DE,Chemnitz,380.59,282.48,352.82,353.15,395.07,315.28,344.96,336.01,354.08,346.34
1278,2023,methamphetamine,DE009,DE,Dortmund,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1280,2023,methamphetamine,DE012,DE,Erfurt,349.44,338.79,319.02,293.21,349.63,359.59,331.28,339.83,330.36,334.42
1282,2023,methamphetamine,DE026,DE,Munich G,11.67,7.51,8.5,16.65,17.0,22.09,17.08,12.09,16.06,14.36
1283,2023,methamphetamine,DE028,DE,Nuremberg,169.02,158.36,180.53,181.0,172.95,164.94,148.4,158.6,174.85,167.89
1284,2023,methamphetamine,DE030,DE,Saarbrücken (2),3.04,1.9,0.5,1.63,1.8,0.74,1.67,2.2,1.17,1.61
1375,2022,MDMA,DE008,DE,Chemnitz,1.61,2.23,3.02,7.82,13.93,15.41,,1.92,10.05,7.34
1376,2022,MDMA,DE009,DE,Dortmund,6.36,2.26,2.11,17.82,27.94,13.25,,4.31,15.28,11.62
1378,2022,MDMA,DE011,DE,Dülmen,1.0,0.98,0.98,6.29,15.09,,1.05,1.01,7.45,4.23
1379,2022,MDMA,DE012,DE,Erfurt,5.23,7.79,4.27,14.11,30.84,21.46,10.44,7.82,17.67,13.45
1381,2022,MDMA,DE026,DE,Munich G,7.62,4.87,7.44,19.86,27.78,9.97,4.65,5.71,16.26,11.74
1382,2022,MDMA,DE028,DE,Nuremberg,1.2,1.4,2.99,11.09,18.22,6.91,1.25,1.28,9.8,6.15
1383,2022,MDMA,DE030,DE,Saarbrücken (2),7.65,7.21,3.04,14.12,40.15,25.5,11.48,8.78,20.7,15.59
1481,2022,amphetamine,DE008,DE,Chemnitz,23.22,24.5,35.01,20.59,29.56,37.42,,23.86,30.64,28.38
1482,2022,amphetamine,DE009,DE,Dortmund,187.6,211.08,187.81,163.83,213.56,186.86,,199.34,188.02,191.79
1484,2022,amphetamine,DE011,DE,Dülmen,733.58,183.95,141.09,187.77,183.83,,158.08,358.54,170.9,264.72
1485,2022,amphetamine,DE012,DE,Erfurt,71.11,68.45,38.65,63.23,69.34,53.44,33.88,57.81,56.17,56.87
1487,2022,amphetamine,DE026,DE,Munich G,33.58,28.93,30.07,32.21,39.35,29.91,27.63,30.05,32.89,31.67
1488,2022,amphetamine,DE028,DE,Nuremberg,56.51,50.88,65.17,73.17,68.57,59.61,53.36,53.58,66.63,61.04
1489,2022,amphetamine,DE030,DE,Saarbrücken (2),404.98,334.87,266.23,322.78,357.77,419.63,414.26,384.7,341.6,360.08
1646,2022,cocaine,DE008,DE,Chemnitz,14.19,21.38,26.56,34.18,38.73,27.74,,17.78,31.8,27.13
1647,2022,cocaine,DE009,DE,Dortmund,271.86,333.38,420.88,315.29,460.96,295.66,,302.62,373.2,349.67
1649,2022,cocaine,DE011,DE,Dülmen,81.69,68.3,130.14,212.71,211.11,,67.51,72.5,184.65,128.58
1650,2022,cocaine,DE012,DE,Erfurt,47.33,84.58,53.12,130.48,120.26,66.56,45.81,59.24,92.61,78.31
1652,2022,cocaine,DE026,DE,Munich G,192.66,218.42,223.31,322.38,300.13,221.37,176.62,195.9,266.8,236.41
1653,2022,cocaine,DE028,DE,Nuremberg,45.93,49.76,63.98,82.48,90.43,55.77,44.63,46.77,73.17,61.86
1654,2022,cocaine,DE030,DE,Saarbrücken (2),208.82,171.56,145.06,188.92,235.96,223.91,195.46,191.95,198.46,195.67
1780,2022,methamphetamine,DE008,DE,Chemnitz,224.09,245.88,376.02,224.41,240.2,366.3,,234.99,301.73,279.49
1781,2022,methamphetamine,DE009,DE,Dortmund,1.27,9.51,2.11,2.47,1.55,2.37,,5.39,2.13,3.22
1783,2022,methamphetamine,DE011,DE,Dülmen,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0
1784,2022,methamphetamine,DE012,DE,Erfurt,216.9,280.46,170.74,253.41,255.84,242.39,165.13,220.83,230.59,226.41
1786,2022,methamphetamine,DE026,DE,Munich G,14.77,14.08,12.21,14.23,15.95,15.59,11.88,13.58,14.49,14.1
1787,2022,methamphetamine,DE028,DE,Nuremberg,110.85,117.7,181.17,136.59,130.85,122.29,127.4,118.65,142.72,132.41
1788,2022,methamphetamine,DE030,DE,Saarbrücken (2),0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1877,2021,MDMA,DE008,DE,Chemnitz,7.94,,2.99,4.03,9.49,11.52,9.05,6.66,8.63,7.79
1878,2021,MDMA,DE009,DE,Dortmund,11.5,,10.89,22.96,17.53,24.44,12.39,11.59,20.62,16.75
1880,2021,MDMA,DE011,DE,Dülmen,8.01,6.56,7.79,27.17,24.74,17.54,8.81,7.79,23.15,14.37
1881,2021,MDMA,DE012,DE,Erfurt,13.41,,14.41,22.71,18.67,20.69,14.19,14.0,20.19,17.54
1883,2021,MDMA,DE026,DE,Munich G,7.83,,5.73,19.05,13.13,24.74,11.23,8.26,17.51,13.55
1884,2021,MDMA,DE028,DE,Nuremberg,9.77,,8.17,15.16,14.11,13.38,10.32,9.42,14.19,12.14
1885,2021,MDMA,DE030,DE,Saarbrücken (2),75.68,,20.99,23.27,28.6,34.13,29.13,41.93,28.65,34.34
2064,2021,cocaine,DE008,DE,Chemnitz,20.36,,3.73,5.03,33.8,26.66,20.18,14.76,24.82,20.51
2065,2021,cocaine,DE009,DE,Dortmund,422.78,,403.37,555.31,489.19,476.84,500.65,442.27,502.63,476.76
2067,2021,cocaine,DE011,DE,Dülmen,208.14,246.64,237.83,305.28,220.66,117.67,116.5,202.28,214.54,207.53
2068,2021,cocaine,DE012,DE,Erfurt,59.95,,68.8,113.91,89.0,78.33,68.52,65.76,92.56,81.07
2070,2021,cocaine,DE026,DE,Munich G,201.41,,195.42,334.3,215.67,266.98,223.77,206.87,258.15,236.17
2071,2021,cocaine,DE028,DE,Nuremberg,47.23,,75.22,93.97,87.09,68.39,51.58,58.01,84.13,72.94
2072,2021,cocaine,DE030,DE,Saarbrücken (2),148.27,,187.87,228.45,235.19,198.07,220.47,185.54,224.22,207.64
2142,2021,methamphetamine,DE008,DE,Chemnitz,115.45,,8.96,5.79,116.62,104.14,111.23,78.55,85.79,82.69
2143,2021,methamphetamine,DE009,DE,Dortmund,2.13,,1.82,1.13,2.33,1.15,1.94,1.96,1.73,1.83
2145,2021,methamphetamine,DE011,DE,Dülmen,1.05,0.94,1.0,1.65,1.57,2.56,1.42,1.1,1.93,1.46
2146,2021,methamphetamine,DE012,DE,Erfurt,99.4,,120.17,110.36,111.28,117.69,118.19,112.59,112.65,112.63
2148,2021,methamphetamine,DE026,DE,Munich G,4.82,,4.46,5.4,4.17,5.98,5.61,4.96,4.93,4.94
2149,2021,methamphetamine,DE028,DE,Nuremberg,53.75,,63.65,55.32,62.6,51.04,54.29,57.23,57.89,57.61
2150,2021,methamphetamine,DE030,DE,Saarbrücken (2),1.41,,0.95,0.93,1.22,2.54,1.93,1.43,1.48,1.46
2211,2020,MDMA,DE008,DE,Chemnitz,8.45,12.02,10.74,13.21,15.0,12.3,9.94,10.13,12.81,11.66
2212,2020,MDMA,DE009,DE,Dortmund,19.32,18.68,13.82,13.71,24.96,27.97,25.84,21.28,20.12,20.61
2214,2020,MDMA,DE011,DE,Dülmen,4.5,5.6,6.3,9.94,14.98,7.24,7.04,5.71,9.62,7.94
2215,2020,MDMA,DE012,DE,Erfurt,10.37,9.28,,8.96,20.22,16.46,13.04,10.9,15.21,13.06
2216,2020,MDMA,DE018,DE,Hamburg N,15.43,14.98,,,30.48,,16.54,15.65,30.48,19.73
2218,2020,MDMA,DE026,DE,Munich G,19.87,,,15.72,14.92,12.13,9.29,14.58,14.26,14.38
2219,2020,MDMA,DE028,DE,Nuremberg,1.23,1.23,3.18,7.1,12.07,6.95,7.72,3.4,7.33,5.64
2220,2020,MDMA,DE030,DE,Saarbrücken (2),19.49,17.59,19.18,21.73,26.54,20.68,19.28,18.78,22.03,20.64
2300,2020,amphetamine,DE008,DE,Chemnitz,19.62,24.04,19.1,18.73,19.61,18.22,18.77,20.81,18.92,19.73
2301,2020,amphetamine,DE009,DE,Dortmund,144.57,141.02,135.36,126.06,183.44,133.71,137.74,141.11,144.64,143.13
2303,2020,amphetamine,DE011,DE,Dülmen,146.24,131.89,134.04,146.04,142.31,142.78,150.76,142.96,141.29,142.01
2304,2020,amphetamine,DE012,DE,Erfurt,41.82,40.11,,37.18,53.29,44.78,48.71,43.55,45.08,44.31
2305,2020,amphetamine,DE018,DE,Hamburg N,54.54,51.65,,,45.04,,41.59,49.26,45.04,50.98
2307,2020,amphetamine,DE026,DE,Munich G,14.85,,,14.44,10.09,18.5,12.84,13.85,14.34,14.14
2308,2020,amphetamine,DE028,DE,Nuremberg,25.06,28.13,33.31,39.19,41.67,33.53,31.38,28.19,36.93,33.18
2309,2020,amphetamine,DE030,DE,Saarbrücken (2),323.47,279.49,287.66,294.64,308.47,238.66,285.85,296.27,282.36,288.32
2424,2020,cocaine,DE008,DE,Chemnitz,20.99,18.99,22.2,33.38,39.45,37.58,18.77,19.58,33.15,27.34
2425,2020,cocaine,DE009,DE,Dortmund,302.36,252.51,242.48,247.62,369.85,351.73,368.69,307.85,302.92,305.04
2427,2020,cocaine,DE011,DE,Dülmen,89.73,114.0,139.57,178.04,175.72,132.8,113.7,105.81,156.53,134.79
2428,2020,cocaine,DE012,DE,Erfurt,54.33,56.05,,78.39,107.15,74.09,56.14,55.51,86.54,71.02
